ID,Ingredient
Banana Cake,1/2 cup shortening
Banana Cake,1 1/2 cup sugar
Banana Cake,2 whole egg
Banana Cake,1 pinch salt
Banana Cake,1/2 cup sour milk
Banana Cake,1 tsp soda water
Banana Cake,1 3/4 cup flour
Banana Cake,1 1/2 tsp baking powder
Banana Cake,1/2 cup chopped nuts
Blueberry Coffee Cake,12 ounce cream cheese
Blueberry Coffee Cake,1 1/2 cup sugar
Blueberry Coffee Cake,3 whole eggs
Blueberry Coffee Cake,1 tbsp lemon juice
Blueberry Coffee Cake,3 tsp vanilla
Blueberry Coffee Cake,1/4 cup butter
Blueberry Coffee Cake,4 cup flour
Blueberry Coffee Cake,1 1/3 tbsp + 1 tsp baking powder
Blueberry Coffee Cake,1 cup milk
Blueberry Coffee Cake,3 cup blueberries
Chocolate Cake,1/2 cup margarine
Chocolate Cake,2 cup sugar
Chocolate Cake,2 whole eggs
Chocolate Cake,5 tbsp cocoa
Chocolate Cake,1/2 tsp salt
Chocolate Cake,1/2 cup sour milk
Chocolate Cake,2 tsp baking soda
Chocolate Cake,2 cup flour
Chocolate Cake,1/2 tsp cloves
Chocolate Cake,1 tsp vanilla
Crazy Cake,1 box lemon cake mix
Crazy Cake,4 1/3 cup water
Crazy Cake,1 small pkg lemon jello
Crazy Cake,4 1/3 cup vegetable oil
Crazy Cake,4 whole eggs
Crazy Cake,2 cup powdered sugar
Crazy Cake,1/2 cup lemon juice
Fresh Apple Cake,4 cup diced apples
Fresh Apple Cake,2 cup sugar
Fresh Apple Cake,1 cup chopped nuts
Fresh Apple Cake,2 eggs; well beaten
Fresh Apple Cake,2 tsp vanilla
Fresh Apple Cake,2 cup flour
Fresh Apple Cake,2 tsp baking powder
Fresh Apple Cake,2 tsp cinnamon
Fresh Apple Cake,1/2 cup vegetable oil
Fresh Apple Cake,1 tsp baking soda
Fresh Apple Cake,1 tsp salt
Fresh Pear Cake,2 tbps butter
Fresh Pear Cake,1 1/2 cup flour
Fresh Pear Cake,3 whole pears
Fresh Pear Cake,2 whole eggs
Fresh Pear Cake,1 cup sugar
Fresh Pear Cake,1/2 cup milk
Fresh Pear Cake,1/8 tsp salt
Fresh Pear Cake,2 tsp powdered sugar
Graham Cracker Cake,1/2 cup butter
Graham Cracker Cake,1 cup sugar
Graham Cracker Cake,1 cup sour milk
Graham Cracker Cake,32 individual graham crackers; crushed
Graham Cracker Cake,1 tsp baking soda
Graham Cracker Cake,1 cup chopped nuts
